  Residual norms for solver_ solve.
  0 KSP Residual norm 3.974784574695e+00 
  1 KSP Residual norm 1.894418443094e-01 
  2 KSP Residual norm 4.653625361695e-02 
  3 KSP Residual norm 2.640260065099e-02 
  4 KSP Residual norm 1.211723940259e-02 
  5 KSP Residual norm 2.430135675798e-03 
  6 KSP Residual norm 1.415241276916e-03 
  7 KSP Residual norm 5.726991499730e-04 
  8 KSP Residual norm 2.749436893228e-04 
  9 KSP Residual norm 1.588070515167e-04 
 10 KSP Residual norm 1.075164293655e-04 
 11 KSP Residual norm 6.067358527938e-05 
 12 KSP Residual norm 4.079440190425e-05 
 13 KSP Residual norm 1.192974221186e-05 
 14 KSP Residual norm 4.625111626972e-06 
 15 KSP Residual norm 1.652351531012e-06 
 16 KSP Residual norm 7.068831106210e-07 
 17 KSP Residual norm 1.516891904039e-07 
 18 KSP Residual norm 5.489116668160e-08 
 19 KSP Residual norm 1.324969768179e-08 
 20 KSP Residual norm 3.109809454285e-09 
 21 KSP Residual norm 1.236925755649e-09 
 22 KSP Residual norm 3.009485596088e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 3.974784574695e+00 
  1 KSP Residual norm 1.894418443094e-01 
  2 KSP Residual norm 4.653625361695e-02 
  3 KSP Residual norm 2.640260065099e-02 
  4 KSP Residual norm 1.211723940259e-02 
  5 KSP Residual norm 2.430135675798e-03 
  6 KSP Residual norm 1.415241276916e-03 
  7 KSP Residual norm 5.726991499730e-04 
  8 KSP Residual norm 2.749436893228e-04 
  9 KSP Residual norm 1.588070515167e-04 
 10 KSP Residual norm 1.075164293655e-04 
 11 KSP Residual norm 6.067358527938e-05 
 12 KSP Residual norm 4.079440190425e-05 
 13 KSP Residual norm 1.192974221186e-05 
 14 KSP Residual norm 4.625111626972e-06 
 15 KSP Residual norm 1.652351531012e-06 
 16 KSP Residual norm 7.068831106210e-07 
 17 KSP Residual norm 1.516891904039e-07 
 18 KSP Residual norm 5.489116668160e-08 
 19 KSP Residual norm 1.324969768179e-08 
 20 KSP Residual norm 3.109809454285e-09 
 21 KSP Residual norm 1.236925755649e-09 
 22 KSP Residual norm 3.009485596088e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 3.974784574695e+00 
  1 KSP Residual norm 1.894418443094e-01 
  2 KSP Residual norm 4.653625361695e-02 
  3 KSP Residual norm 2.640260065099e-02 
  4 KSP Residual norm 1.211723940259e-02 
  5 KSP Residual norm 2.430135675798e-03 
  6 KSP Residual norm 1.415241276916e-03 
  7 KSP Residual norm 5.726991499730e-04 
  8 KSP Residual norm 2.749436893228e-04 
  9 KSP Residual norm 1.588070515167e-04 
 10 KSP Residual norm 1.075164293655e-04 
 11 KSP Residual norm 6.067358527938e-05 
 12 KSP Residual norm 4.079440190425e-05 
 13 KSP Residual norm 1.192974221186e-05 
 14 KSP Residual norm 4.625111626972e-06 
 15 KSP Residual norm 1.652351531012e-06 
 16 KSP Residual norm 7.068831106210e-07 
 17 KSP Residual norm 1.516891904039e-07 
 18 KSP Residual norm 5.489116668160e-08 
 19 KSP Residual norm 1.324969768179e-08 
 20 KSP Residual norm 3.109809454285e-09 
 21 KSP Residual norm 1.236925755649e-09 
 22 KSP Residual norm 3.009485596088e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 3.974784574695e+00 
  1 KSP Residual norm 1.894418443094e-01 
  2 KSP Residual norm 4.653625361695e-02 
  3 KSP Residual norm 2.640260065099e-02 
  4 KSP Residual norm 1.211723940259e-02 
  5 KSP Residual norm 2.430135675798e-03 
  6 KSP Residual norm 1.415241276916e-03 
  7 KSP Residual norm 5.726991499730e-04 
  8 KSP Residual norm 2.749436893228e-04 
  9 KSP Residual norm 1.588070515167e-04 
 10 KSP Residual norm 1.075164293655e-04 
 11 KSP Residual norm 6.067358527938e-05 
 12 KSP Residual norm 4.079440190425e-05 
 13 KSP Residual norm 1.192974221186e-05 
 14 KSP Residual norm 4.625111626972e-06 
 15 KSP Residual norm 1.652351531012e-06 
 16 KSP Residual norm 7.068831106210e-07 
 17 KSP Residual norm 1.516891904039e-07 
 18 KSP Residual norm 5.489116668160e-08 
 19 KSP Residual norm 1.324969768179e-08 
 20 KSP Residual norm 3.109809454285e-09 
 21 KSP Residual norm 1.236925755649e-09 
 22 KSP Residual norm 3.009485596088e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 3.974784574695e+00 
  1 KSP Residual norm 1.894418443094e-01 
  2 KSP Residual norm 4.653625361695e-02 
  3 KSP Residual norm 2.640260065099e-02 
  4 KSP Residual norm 1.211723940259e-02 
  5 KSP Residual norm 2.430135675798e-03 
  6 KSP Residual norm 1.415241276916e-03 
  7 KSP Residual norm 5.726991499730e-04 
  8 KSP Residual norm 2.749436893228e-04 
  9 KSP Residual norm 1.588070515167e-04 
 10 KSP Residual norm 1.075164293655e-04 
 11 KSP Residual norm 6.067358527938e-05 
 12 KSP Residual norm 4.079440190425e-05 
 13 KSP Residual norm 1.192974221186e-05 
 14 KSP Residual norm 4.625111626972e-06 
 15 KSP Residual norm 1.652351531012e-06 
 16 KSP Residual norm 7.068831106210e-07 
 17 KSP Residual norm 1.516891904039e-07 
 18 KSP Residual norm 5.489116668160e-08 
 19 KSP Residual norm 1.324969768179e-08 
 20 KSP Residual norm 3.109809454285e-09 
 21 KSP Residual norm 1.236925755649e-09 
 22 KSP Residual norm 3.009485596088e-10 
